origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2013,1,1,0,2.8,-5.6,53.97,230.0,4.63,5.33,0.0,1013.9,16093.4,1/01/2013 1:00
EWR,2013,1,1,1,2.8,-5.6,53.97,230.0,6.17,7.1,0.0,1013.0,16093.4,1/01/2013 2:00
EWR,2013,1,1,2,3.3,-5.6,52.09,230.0,5.66,6.51,0.0,1012.6,16093.4,1/01/2013 3:00
EWR,2013,1,1,3,3.3,-5.0,54.51,230.0,6.17,7.1,0.0,1012.7,16093.4,1/01/2013 4:00
EWR,2013,1,1,4,3.3,-4.4,57.04,240.0,6.69,7.7,0.0,1012.8,16093.4,1/01/2013 5:00
EWR,2013,1,1,6,3.9,-3.3,59.37,270.0,4.63,5.33,0.0,1012.0,16093.4,1/01/2013 7:00
EWR,2013,1,1,7,3.9,-2.8,61.63,250.0,3.6,4.14,0.0,1012.3,16093.4,1/01/2013 8:00
EWR,2013,1,1,8,3.9,-2.2,64.43,240.0,5.14,5.92,0.0,1012.5,16093.4,1/01/2013 9:00
EWR,2013,1,1,9,4.4,-2.2,62.21,250.0,5.66,6.51,0.0,1012.2,16093.4,1/01/2013 10:00
EWR,2013,1,1,10,3.9,-2.2,64.43,260.0,5.66,6.51,0.0,1011.9,16093.4,1/01/2013 11:00
EWR,2013,1,1,11,3.3,-2.2,67.21,240.0,5.14,5.92,0.0,1012.4,16093.4,1/01/2013 12:00
EWR,2013,1,1,12,3.9,-2.2,64.43,240.0,6.69,7.7,0.0,1012.2,16093.4,1/01/2013 13:00
EWR,2013,1,1,13,4.4,-2.2,62.21,250.0,4.63,5.33,0.0,1012.2,16093.4,1/01/2013 14:00
EWR,2013,1,1,14,4.4,-2.2,62.21,260.0,6.69,7.7,0.0,1012.7,16093.4,1/01/2013 15:00
EWR,2013,1,1,15,5.0,-2.2,59.65,260.0,6.17,7.1,0.0,1012.4,16093.4,1/01/2013 16:00
EWR,2013,1,1,16,5.0,-2.8,57.06,260.0,6.69,7.7,0.0,1011.4,16093.4,1/01/2013 17:00
EWR,2013,1,1,17,4.0,-2.0,64.93,270.0,7.2,8.29,0.0,,16093.4,1/01/2013 18:00
EWR,2013,1,1,18,4.0,-2.0,64.93,330.0,6.69,7.7,0.0,,16093.4,1/01/2013 19:00
EWR,2013,1,1,19,3.9,-4.4,54.68,280.0,6.17,7.1,0.0,1010.8,16093.4,1/01/2013 20:00
EWR,2013,1,1,20,3.3,-4.4,57.04,290.0,4.12,4.74,0.0,1011.9,16093.4,1/01/2013 21:00
EWR,2013,1,1,21,2.8,-6.7,49.62,300.0,6.17,7.1,0.0,1012.1,16093.4,1/01/2013 22:00
EWR,2013,1,1,22,2.2,-7.2,49.83,330.0,5.14,5.92,0.0,1013.2,16093.4,1/01/2013 23:00
